"repository","period","indicator","evidence"
"acl-org/acl-anthology","post","C2","sha=0b553a5e4cb485acabf45e4f7f85ee32649529bb; file=data/xml/2022.legal.xml; text=49–52 Privacy preservation of sensitive information is one of the main concerns in clinical text mining. Due to the inherent privacy risks of handling clinical data, the clinical corpora used to create the clinical Named Entity Recognition (NER) models underlying clinical de-identification systems cannot be shared. This situation implies that clinical NER models are trained and tested on data originating from the same institution since it is rarely possible to evaluate them on data belonging to a different organization. These restrictions on sharing make it very difficult to assess whether a clinical NER model has overfitted the data or if it"
"acl-org/acl-anthology","post","C3","sha=0b553a5e4cb485acabf45e4f7f85ee32649529bb; file=data/xml/2022.legal.xml; text=f extracting information from unaware if not unwilling participants. Modern corpora need to adapt, be focused on testing specific hypotheses, and be respectful of the privacy of the people who generated its data. Our work focuses on using a distributed participatory approach and continuous informed consent to solve these issues, by allowing participants to voluntarily contribute their own censored personal data at a granular level. We evaluate our approach in a three-pronged manner, testing the accuracy of measurement of statistical measures of language with respect to standard corpus linguistics tools, evaluating the usability of our applica"
"acl-org/acl-anthology","post","C7","sha=0b553a5e4cb485acabf45e4f7f85ee32649529bb; file=data/xml/2022.legal.xml; text=2022.legal-1.12 arranz-etal-2022-mapa P ri PA : A Tool for Privacy-Preserving Analytics of Linguistic Data Jeremie Clos Emma McClaughlin"
"theopenconversationkit/tock","post","D1","sha=a47a114fc86b1cbc055d60865fca3132c6fce5a0; file=docs/docs/en/admin/security.md; text=> When authentication is of type SSO the Logout button is not available ## Data Since users can transmit personal data to bots through their conversations, it is important to think about the nature of the data handled in _Tock Studio_ or stored by Tock, and to implement appropriate protection mechanisms (anonymization, encryption,"
"theopenconversationkit/tock","post","C1","sha=a47a114fc86b1cbc055d60865fca3132c6fce5a0; file=docs/docs/en/admin/security.md; text=> When authentication is of type SSO the Logout button is not available ## Data Since users can transmit personal data to bots through their conversations, it is important to think about the nature of the data handled in _Tock Studio_ or stored by Tock, and to implement appropriate protection mechanisms (anonymization, encryption,"
"theopenconversationkit/tock","post","C2","sha=a47a114fc86b1cbc055d60865fca3132c6fce5a0; file=docs/docs/en/admin/security.md; text=> When authentication is of type SSO the Logout button is not available ## Data Since users can transmit personal data to bots through their conversations, it is important to think about the nature of the data handled in _Tock Studio_ or stored by Tock, and to implement appropriate protection mechanisms (anonymization, encryption,"
"theopenconversationkit/tock","post","C5","sha=a47a114fc86b1cbc055d60865fca3132c6fce5a0; file=docs/docs/en/admin/security.md; text=configuration and bot responses, intent structure, browsing statistics for all users, etc.) to more personal data (conversation details, user preferences, etc.). Depending on their nature and use in Tock (NLP, monitoring, debugging, etc.), these data have specific, configurable retention periods. Each Tock user decides and configures how long the stored data is retained, based on their needs."
"theopenconversationkit/tock","post","C7","sha=a47a114fc86b1cbc055d60865fca3132c6fce5a0; file=docs/docs/en/admin/security.md; text=Since users can transmit personal data to bots through their conversations, it is important to think about the nature of the data handled in _Tock Studio_ or stored by Tock, and to implement appropriate protection mechanisms (anonymization, encryption, retention period, role-based access restrictions, etc.). ### Data encryption"
"pbek/QOwnNotes","post","D1","sha=013f1b239df671f62e1aae605aa6cc73aed1da93; file=PRIVACY.md; text=## 1. Introduction This policy outlines how QOwnNotes handles privacy-related requests and manages personal information in our GitHub repository. ## 2. How We Use Information"
"pbek/QOwnNotes","post","C1","sha=013f1b239df671f62e1aae605aa6cc73aed1da93; file=PRIVACY.md; text=## 1. Introduction This policy outlines how QOwnNotes handles privacy-related requests and manages personal information in our GitHub repository. ## 2. How We Use Information"
"pbek/QOwnNotes","post","C2","sha=013f1b239df671f62e1aae605aa6cc73aed1da93; file=PRIVACY.md; text=This policy outlines how QOwnNotes handles privacy-related requests and manages personal information in our GitHub repository. ## 2. How We Use Information Information in our repository is used for: - Project development and improvement"
"mock-server/mockserver-monorepo","post","D1","sha=223a176b9b1850667f002cf85a18aaeacd34ba4e; file=SECURITY.md; text=The following types of alerts are dismissed as not applicable to MockServer's use case: 1. Spring deserialization vulnerabilities - MockServer does not deserialize untrusted user data through Spring's mechanisms 2. Spring MVC path traversal - MockServer uses its own request routing, not Spring MVC's file serving"
"mock-server/mockserver-monorepo","post","C1","sha=223a176b9b1850667f002cf85a18aaeacd34ba4e; file=SECURITY.md; text=The following types of alerts are dismissed as not applicable to MockServer's use case: 1. Spring deserialization vulnerabilities - MockServer does not deserialize untrusted user data through Spring's mechanisms 2. Spring MVC path traversal - MockServer uses its own request routing, not Spring MVC's file serving"
"judge0/judge0","post","D1","sha=e13861e0317bad44c7ac843840d7471e7d64a1b9; file=PRIVACY_POLICY.md; text=If you deploy Judge0 to your own infrastructure then you should read about [telemetry](TELEMETRY.md). ## Collected Data Judge0 does not store any personal information. For every submission Judge0 stores the data that has been well documented [here]( )."
"judge0/judge0","post","C1","sha=e13861e0317bad44c7ac843840d7471e7d64a1b9; file=PRIVACY_POLICY.md; text=If you deploy Judge0 to your own infrastructure then you should read about [telemetry](TELEMETRY.md). ## Collected Data Judge0 does not store any personal information. For every submission Judge0 stores the data that has been well documented [here]( )."
"datopian/portaljs","post","D1","sha=b61b1f6945d3cb70815633aa67ae000dc91ee49d; file=examples/openspending/content/resources/osi/privacyguide.md; text=--- by OpenSpending team and Ian Makgill, Ticon This guide is purposed to help governments to publish spending without compromising personal information. It has been drafted with UK local councils and other public authorities who wish to publish transactional spending in accordance with the UK regulations, but who are concerned if their data include personal information (such as personal names or addresses). While we recognise that governmental accounting systems as well as privacy regulations differs vastly across countries, we think this guide provide key practical advice, which should to some extent be replicable. Background In January 201"
"datopian/portaljs","post","C1","sha=b61b1f6945d3cb70815633aa67ae000dc91ee49d; file=examples/openspending/content/resources/osi/privacyguide.md; text=--- by OpenSpending team and Ian Makgill, Ticon This guide is purposed to help governments to publish spending without compromising personal information. It has been drafted with UK local councils and other public authorities who wish to publish transactional spending in accordance with the UK regulations, but who are concerned if their data include personal information (such as personal names or addresses). While we recognise that governmental accounting systems as well as privacy regulations differs vastly across countries, we think this guide provide key practical advice, which should to some extent be replicable. Background In January 201"
"datopian/portaljs","post","C2","sha=b61b1f6945d3cb70815633aa67ae000dc91ee49d; file=examples/openspending/content/resources/osi/privacyguide.md; text=ernments might be tempted to use this as reason for limiting public disclosures. So why are we writing this guide? because we care about privacy of individual citizens because we care about Open Data, we think it is vital part of making Government transparent and accountable because the presence of personal data within transactional spending data has been identified as a barrier for making such data available to the public. (In April 2013 Copenhagen City Council rejected a Freedom of Information request for 1 mi. transactions worth EUR 2.5bn due to the fact that the data contained personal data, which could not be removed without extensive us"
"datopian/portaljs","post","C6","sha=b61b1f6945d3cb70815633aa67ae000dc91ee49d; file=examples/openspending/content/resources/osi/privacyguide.md; text=--- title: How to publish spending data without disclosing personal information --- by OpenSpending team and Ian Makgill, Ticon This guide is purposed to help governments to publish spending without compromising personal information."
"datopian/portaljs","post","C7","sha=b61b1f6945d3cb70815633aa67ae000dc91ee49d; file=examples/openspending/content/resources/osi/privacyguide.md; text=nd transaction descriptions. It is therefore necessary to review all fields in a data set. Step 1: Flagging at source Evaluating the entries in the supplier name field to assess whether the data includes an individual&#39;s name is an inefficient and largely ineffective method for flagging personal data breaches. Instead the most effective method of suppressing publication of this data is to ensure that personal data is flagged as such when payments are made. Every Department in the Council will have a legitimate reason for issuing payments to an individual, so it is advisable to establish an organisation-wide protocol for flagging payments t"
"matthiasn/lotti","pre","D1","sha=d0046d8cd4cadc993722d504b36eda8a31d3970d; file=README.md; text=# meo meo is a personal information manager for recording and improving my life. It starts with a geo-aware journal where each entry captures your geo-location and whatever you want to note about that moment. You can use hashtags and mentions to better organize your information."
"matthiasn/lotti","pre","C1","sha=d0046d8cd4cadc993722d504b36eda8a31d3970d; file=README.md; text=# meo meo is a personal information manager for recording and improving my life. It starts with a geo-aware journal where each entry captures your geo-location and whatever you want to note about that moment. You can use hashtags and mentions to better organize your information."
"matthiasn/lotti","post","D1","sha=5703dfe40797bb36531ed3ad9a1b21ae9adf848e; file=README.md; text=--- ## Local Execution & Data Sovereignty Most AI‑powered productivity tools require you to upload and store your personal data on their servers. Lotti doesn't. Your tasks, audio, journal entries, and time recordings live on your devices and nowhere else."
"matthiasn/lotti","post","C1","sha=5703dfe40797bb36531ed3ad9a1b21ae9adf848e; file=README.md; text=--- ## Local Execution & Data Sovereignty Most AI‑powered productivity tools require you to upload and store your personal data on their servers. Lotti doesn't. Your tasks, audio, journal entries, and time recordings live on your devices and nowhere else."
"matthiasn/lotti","post","C2","sha=5703dfe40797bb36531ed3ad9a1b21ae9adf848e; file=PRIVACY.md; text=### GDPR-Compliant Options - European-hosted AI providers with no-retention policies are available - These providers process your data without storing it - You maintain the right to choose which provider to use or to use none at all ## Audio Transcription"
"matthiasn/lotti","post","C4","sha=5703dfe40797bb36531ed3ad9a1b21ae9adf848e; file=PRIVACY.md; text=Closed and open testing tracks are distributed through the Google Play Store, which collects whatever account/device data Google's own terms describe; Lotti itself receives nothing extra from these channels - Other platforms : Direct download from GitHub Releases requires no personal information ## Your Rights You have complete control over your data: - Access : Direct access to all your data via the app"
"matthiasn/lotti","post","C6","sha=5703dfe40797bb36531ed3ad9a1b21ae9adf848e; file=PRIVACY.md; text=- Encryption keys are exchanged via QR code, never transmitted over the network - Matrix provides decentralized, secure communication for sync - No third party has access to your encryption keys or synced data ## AI Integration & Privacy ### Your Choice, Your Control"
"matthiasn/lotti","post","C7","sha=5703dfe40797bb36531ed3ad9a1b21ae9adf848e; file=README.md; text=There is no Lotti backend; homeservers (self‑hosted or public) only relay end‑to‑end encrypted payloads. ### What is encrypted - Sync traffic — every sync payload (logbook entries, agent state, suggestions, attachments) is end‑to‑end encrypted using Matrix + Vodozemac (the Rust implementation of Olm/Megolm). Homeservers see ciphertext, never unencrypted data. Both the user database and the agentic database sync this way."
